Therapy	Sample	Response	Cancer types	Datasets	Alias
TRASTUZUMAB	GSM1982174	NR	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982176	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982178	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982180	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982182	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982184	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982186	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982188	NR	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982190	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982192	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982194	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982196	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982198	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982202	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982204	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982206	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
TRASTUZUMAB	GSM1982208	R	BRCA	Varandan et al.	TRASTUZUMAB DERUXTECAN
LETROZOLE	GSM1438585	NR	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438588	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438591	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438594	NR	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438597	NR	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438600	NR	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438603	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438606	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438609	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438612	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438615	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438618	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438621	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438624	NR	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438627	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438630	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438633	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438636	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438639	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438642	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438645	NR	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438648	NR	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438651	NR	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438654	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1438657	R	BRCA	Turnbull et al.	LETROZOLE
LETROZOLE	GSM1334958	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334959	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334960	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334961	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334962	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334963	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334964	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334965	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334966	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334967	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334968	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334969	R	BRCA	Arthur et al.	LETROZOLE
LETROZOLE	GSM1334970	R	BRCA	Arthur et al.	LETROZOLE
GEMCITABINE	TCGA-DK-A3WX	NR	BLCA	Ding et al.	GEMCITABINE
CISPLATIN	TCGA-DK-A3WX	NR	BLCA	Ding et al.	CISPLATIN
GEMCITABINE	TCGA-FD-A3SO	NR	BLCA	Ding et al.	GEMCITABINE
CISPLATIN	TCGA-FD-A3SO	NR	BLCA	Ding et al.	CISPLATIN
GEMCITABINE	TCGA-XF-AAME	R	BLCA	Ding et al.	GEMCITABINE
CISPLATIN	TCGA-XF-AAME	R	BLCA	Ding et al.	CISPLATIN
CISPLATIN	TCGA-DS-A7WF	R	CESC	Ding et al.	CISPLATIN
CISPLATIN	TCGA-DS-A7WI	R	CESC	Ding et al.	CISPLATIN
PACLITAXEL	TCGA-VS-A8QC	NR	CESC	Ding et al.	PACLITAXEL
CISPLATIN	TCGA-VS-A9U6	R	CESC	Ding et al.	CISPLATIN
CISPLATIN	TCGA-VS-A9UY	NR	CESC	Ding et al.	CISPLATIN
CISPLATIN	TCGA-VS-A9V1	NR	CESC	Ding et al.	CISPLATIN
FLUOROURACIL	TCGA-NH-A6GA	NR	COAD	Ding et al.	FLUOROURACIL
IRINOTECAN	TCGA-NH-A6GA	NR	COAD	Ding et al.	IRINOTECAN
FLUOROURACIL	TCGA-NH-A6GA	NR	COAD	Ding et al.	FLUOROURACIL
CISPLATIN	TCGA-BA-A6DI	R	HNSCC	Ding et al.	CISPLATIN
CISPLATIN	TCGA-IQ-A61G	NR	HNSCC	Ding et al.	CISPLATIN
CISPLATIN	TCGA-MZ-A6I9	R	HNSCC	Ding et al.	CISPLATIN
RIGOSERTIB	TCGA-MZ-A6I9	NR	HNSCC	Ding et al.	RIGOSERTIB
DOCETAXEL	TCGA-MZ-A6I9	NR	HNSCC	Ding et al.	DOCETAXEL
PACLITAXEL	TCGA-QK-A6IG	NR	HNSCC	Ding et al.	PACLITAXEL
CISPLATIN	TCGA-CN-A6V3	R	HNSCC	Ding et al.	CISPLATIN
CISPLATIN	TCGA-P3-A6T3	R	HNSCC	Ding et al.	CISPLATIN
CISPLATIN	TCGA-UF-A7JK	R	HNSCC	Ding et al.	CISPLATIN
VINCRISTINE	TCGA-IA-A83W	R	KIRP	Ding et al.	VINCRISTINE
DOXORUBICIN	TCGA-IA-A83W	R	KIRP	Ding et al.	DOXORUBICIN
CYCLOPHOSPHAMIDE	TCGA-IA-A83W	R	KIRP	Ding et al.	CYCLOPHOSPHAMIDE
TEMOZOLOMIDE	TCGA-S9-A6TX	R	LGG	Ding et al.	TEMOZOLOMIDE
CARMUSTINE	TCGA-S9-A6U8	NR	LGG	Ding et al.	CARMUSTINE
TEMOZOLOMIDE	TCGA-KT-A7W1	NR	LGG	Ding et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	TCGA-S9-A89V	NR	LGG	Ding et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	TCGA-S9-A89V	NR	LGG	Ding et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	TCGA-TM-A84L	NR	LGG	Ding et al.	TEMOZOLOMIDE
TEMOZOLOMIDE	TCGA-VM-A8CE	R	LGG	Ding et al.	TEMOZOLOMIDE
VINCRISTINE	TCGA-VM-A8CE	R	LGG	Ding et al.	VINCRISTINE
TEMOZOLOMIDE	TCGA-WH-A86K	R	LGG	Ding et al.	TEMOZOLOMIDE
SORAFENIB	TCGA-G3-A5SI	NR	LIHC	Ding et al.	SORAFENIB
GEMCITABINE	TCGA-UB-A7MA	NR	LIHC	Ding et al.	GEMCITABINE
CISPLATIN	TCGA-UB-A7MA	NR	LIHC	Ding et al.	CISPLATIN
VINORELBINE	TCGA-MP-A4T9	R	LUAD	Ding et al.	VINORELBINE
CISPLATIN	TCGA-MP-A4T9	R	LUAD	Ding et al.	CISPLATIN
GEMCITABINE	TCGA-MP-A4T9	R	LUAD	Ding et al.	GEMCITABINE
CISPLATIN	TCGA-69-A59K	R	LUAD	Ding et al.	CISPLATIN
VINORELBINE	TCGA-MP-A4TF	R	LUAD	Ding et al.	VINORELBINE
CISPLATIN	TCGA-MP-A4TF	R	LUAD	Ding et al.	CISPLATIN
VINORELBINE	TCGA-NC-A5HI	R	LUSC	Ding et al.	VINORELBINE
DASATINIB	TCGA-3H-AB3K	R	MESO	Ding et al.	DASATINIB
GEMCITABINE	TCGA-IB-7644	NR	PAAD	Ding et al.	GEMCITABINE
GEMCITABINE	TCGA-IB-7889	NR	PAAD	Ding et al.	GEMCITABINE
GEMCITABINE	TCGA-IB-A5SP	NR	PAAD	Ding et al.	GEMCITABINE
DOCETAXEL	TCGA-3E-AAAZ	R	PAAD	Ding et al.	DOCETAXEL
GEMCITABINE	TCGA-3E-AAAZ	R	PAAD	Ding et al.	GEMCITABINE
GEMCITABINE	TCGA-FB-AAQ6	R	PAAD	Ding et al.	GEMCITABINE
GEMCITABINE	TCGA-X6-A7WC	R	SARC	Ding et al.	GEMCITABINE
DOXORUBICIN	TCGA-X6-A8C6	NR	SARC	Ding et al.	DOXORUBICIN
GEMCITABINE	TCGA-X6-A8C6	NR	SARC	Ding et al.	GEMCITABINE
CISPLATIN	TCGA-3B-A9HT	R	SARC	Ding et al.	CISPLATIN
FLUOROURACIL	TCGA-FP-8209	R	STAD	Ding et al.	FLUOROURACIL
FLUOROURACIL	TCGA-D7-A748	NR	STAD	Ding et al.	FLUOROURACIL
FLUOROURACIL	TCGA-VQ-A8DU	NR	STAD	Ding et al.	FLUOROURACIL
FLUOROURACIL	TCGA-VQ-A8E0	NR	STAD	Ding et al.	FLUOROURACIL
FLUOROURACIL	TCGA-VQ-A91Q	R	STAD	Ding et al.	FLUOROURACIL
FLUOROURACIL	TCGA-VQ-A91Y	NR	STAD	Ding et al.	FLUOROURACIL
FLUOROURACIL	TCGA-VQ-A922	NR	STAD	Ding et al.	FLUOROURACIL
FLUOROURACIL	TCGA-VQ-A928	NR	STAD	Ding et al.	FLUOROURACIL
FLUOROURACIL	TCGA-VQ-AA6D	R	STAD	Ding et al.	FLUOROURACIL
PACLITAXEL	TCGA-N5-A4RM	NR	UCS	Ding et al.	PACLITAXEL
PACLITAXEL	TCGA-N5-A59E	R	UCS	Ding et al.	PACLITAXEL
PACLITAXEL	TCGA-N8-A4PI	R	UCS	Ding et al.	PACLITAXEL
CISPLATIN	TCGA-NG-A4VW	R	UCS	Ding et al.	CISPLATIN
DOXORUBICIN	TCGA-NG-A4VW	R	UCS	Ding et al.	DOXORUBICIN
CYCLOPHOSPHAMIDE	TCGA-NG-A4VW	R	UCS	Ding et al.	CYCLOPHOSPHAMIDE
