Name	No transfer	Transfer	%change	GDSC Cancer
HNSCC	0.5066666666666667	0.6522222222222223	28.728070175438592	No
UCS	0.4000000000000001	0.6	49.999999999999964	No
BLCA	0.3	1.0	233.33333333333334	Yes
BRCA	0.7259299905392622	0.7867928098391676	8.384116938699965	Yes
CESC	0.3111111111111112	0.4222222222222222	35.714285714285666	Yes
LGG	0.5	0.9	80.0	Yes
LIHC	0.8814382896015548	0.8872691933916425	0.6615214994487545	Yes
PAAD	0.1555555555555556	0.22222222222222224	42.85714285714282	Yes
SKCM	0.3969230769230769	0.5438461538461538	37.01550387596899	Yes
STAD	0.18888888888888888	0.22222222222222224	17.647058823529424	Yes
