Therapy	Sample	Response	Cancer types	Datasets	Alias
GW 405833	PIM025	0.012613	BRCA	Powell et al.	GW-405833
GW 405833	PIM164	0.024541	BRCA	Powell et al.	GW-405833
PIFITHRIN-MU	PIM242	0.10640999999999999	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM014	0.25504	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM137	0.21666	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM254	0.11709000000000001	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM040	0.049821	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM053	0.069856	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM091	0.20809	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM262	0.047783	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM068	0.2753	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM163	0.20943	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM010	0.20360999999999999	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM025	0.16710999999999998	BRCA	Powell et al.	PIFITHRIN-MU
PIFITHRIN-MU	PIM164	0.084613	BRCA	Powell et al.	PIFITHRIN-MU
AM 580	PIM242	0.070978	BRCA	Powell et al.	AM-580
AM 580	PIM014	0.06423	BRCA	Powell et al.	AM-580
AM 580	PIM137	0.055852	BRCA	Powell et al.	AM-580
AM 580	PIM254	0.12139000000000001	BRCA	Powell et al.	AM-580
AM 580	PIM040	0.15985	BRCA	Powell et al.	AM-580
AM 580	PIM053	0.11014000000000002	BRCA	Powell et al.	AM-580
AM 580	PIM091	0.014353	BRCA	Powell et al.	AM-580
AM 580	PIM262	0.048978	BRCA	Powell et al.	AM-580
AM 580	PIM068	-0.0060071000000000005	BRCA	Powell et al.	AM-580
AM 580	PIM163	0.071373	BRCA	Powell et al.	AM-580
AM 580	PIM010	-0.019724000000000002	BRCA	Powell et al.	AM-580
AM 580	PIM025	-0.004495600000000001	BRCA	Powell et al.	AM-580
AM 580	PIM164	-0.012486	BRCA	Powell et al.	AM-580
CCT036477	PIM242	0.017487	BRCA	Powell et al.	CCT036477
CCT036477	PIM014	-0.021117	BRCA	Powell et al.	CCT036477
CCT036477	PIM137	0.027170999999999997	BRCA	Powell et al.	CCT036477
CCT036477	PIM254	-0.0038289	BRCA	Powell et al.	CCT036477
CCT036477	PIM040	0.025997000000000003	BRCA	Powell et al.	CCT036477
CCT036477	PIM053	-0.0020586	BRCA	Powell et al.	CCT036477
CCT036477	PIM091	-0.028297000000000003	BRCA	Powell et al.	CCT036477
CCT036477	PIM262	0.056413	BRCA	Powell et al.	CCT036477
CCT036477	PIM068	0.21331	BRCA	Powell et al.	CCT036477
CCT036477	PIM163	0.12597	BRCA	Powell et al.	CCT036477
CCT036477	PIM010	-0.050024	BRCA	Powell et al.	CCT036477
CCT036477	PIM025	0.01674	BRCA	Powell et al.	CCT036477
CCT036477	PIM164	0.08923500000000001	BRCA	Powell et al.	CCT036477
PF 750	PIM242	0.055284	BRCA	Powell et al.	PF-750
PF 750	PIM014	0.0012377	BRCA	Powell et al.	PF-750
PF 750	PIM137	0.057135000000000005	BRCA	Powell et al.	PF-750
PF 750	PIM254	0.098348	BRCA	Powell et al.	PF-750
PF 750	PIM040	0.12205	BRCA	Powell et al.	PF-750
PF 750	PIM053	0.0016847000000000001	BRCA	Powell et al.	PF-750
PF 750	PIM091	-0.023199	BRCA	Powell et al.	PF-750
PF 750	PIM262	0.053621	BRCA	Powell et al.	PF-750
PF 750	PIM068	0.041154	BRCA	Powell et al.	PF-750
PF 750	PIM163	0.090648	BRCA	Powell et al.	PF-750
PF 750	PIM010	0.0027147	BRCA	Powell et al.	PF-750
PF 750	PIM025	-0.01027	BRCA	Powell et al.	PF-750
PF 750	PIM164	-0.008956700000000001	BRCA	Powell et al.	PF-750
GW-405833	PIM242	0.093856	BRCA	Powell et al.	GW-405833
GW-405833	PIM014	0.16541	BRCA	Powell et al.	GW-405833
GW-405833	PIM137	0.1402	BRCA	Powell et al.	GW-405833
GW-405833	PIM254	0.11424000000000001	BRCA	Powell et al.	GW-405833
GW-405833	PIM040	0.06301699999999999	BRCA	Powell et al.	GW-405833
GW-405833	PIM053	-0.006129	BRCA	Powell et al.	GW-405833
GW-405833	PIM091	3.4474e-05	BRCA	Powell et al.	GW-405833
GW-405833	PIM262	0.17492	BRCA	Powell et al.	GW-405833
GW-405833	PIM068	0.16165	BRCA	Powell et al.	GW-405833
GW-405833	PIM163	0.073061	BRCA	Powell et al.	GW-405833
GW-405833	PIM010	0.025382	BRCA	Powell et al.	GW-405833
GW-405833	PIM025	-0.042137	BRCA	Powell et al.	GW-405833
GW-405833	PIM164	0.056745000000000004	BRCA	Powell et al.	GW-405833
PROCHLORPERAZINE DIMALEATE	PIM242	0.2134	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM014	0.18372	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM137	0.33907	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM254	0.2094	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM040	0.10902	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM053	0.05505	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM091	0.029227	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM262	0.5111	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM068	0.2192	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM163	0.18891	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM010	0.18634	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM025	0.0045853000000000005	BRCA	Powell et al.	PROCHLORPERAZINE
PROCHLORPERAZINE DIMALEATE	PIM164	0.076439	BRCA	Powell et al.	PROCHLORPERAZINE
KHS101	PIM242	0.22269	BRCA	Powell et al.	KHS101
KHS101	PIM014	0.22415	BRCA	Powell et al.	KHS101
KHS101	PIM137	0.17277	BRCA	Powell et al.	KHS101
KHS101	PIM254	0.2027	BRCA	Powell et al.	KHS101
KHS101	PIM040	0.34954	BRCA	Powell et al.	KHS101
KHS101	PIM053	0.61603	BRCA	Powell et al.	KHS101
KHS101	PIM091	0.20540999999999998	BRCA	Powell et al.	KHS101
KHS101	PIM262	0.18944	BRCA	Powell et al.	KHS101
KHS101	PIM068	0.24691	BRCA	Powell et al.	KHS101
KHS101	PIM163	0.21553000000000003	BRCA	Powell et al.	KHS101
KHS101	PIM010	0.11550999999999999	BRCA	Powell et al.	KHS101
KHS101	PIM025	0.065366	BRCA	Powell et al.	KHS101
KHS101	PIM164	0.1578	BRCA	Powell et al.	KHS101
PF 4800567 HYDROCHLORIDE	PIM242	0.31519	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM014	0.20007	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM137	0.28308	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM254	0.19408	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM040	0.15365	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM053	0.043261	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM091	0.024147	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM262	0.41005	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM068	0.16146	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM163	0.18087999999999999	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM010	0.11928	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM025	0.016426	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
PF 4800567 HYDROCHLORIDE	PIM164	0.066189	BRCA	Powell et al.	PF-4800567 HYDROCHLORIDE
MST-312	PIM242	0.28665999999999997	BRCA	Powell et al.	MST-312
MST-312	PIM014	0.23173000000000002	BRCA	Powell et al.	MST-312
MST-312	PIM137	0.17221	BRCA	Powell et al.	MST-312
MST-312	PIM254	0.25239	BRCA	Powell et al.	MST-312
MST-312	PIM040	0.20344	BRCA	Powell et al.	MST-312
MST-312	PIM053	0.27131	BRCA	Powell et al.	MST-312
MST-312	PIM091	0.18604	BRCA	Powell et al.	MST-312
MST-312	PIM262	0.25309	BRCA	Powell et al.	MST-312
MST-312	PIM068	0.1543	BRCA	Powell et al.	MST-312
MST-312	PIM163	0.28017	BRCA	Powell et al.	MST-312
MST-312	PIM010	0.34028	BRCA	Powell et al.	MST-312
MST-312	PIM025	0.11544000000000001	BRCA	Powell et al.	MST-312
MST-312	PIM164	0.30384	BRCA	Powell et al.	MST-312
HLI 373	PIM242	0.0444	BRCA	Powell et al.	HLI 373
HLI 373	PIM014	-0.030629000000000003	BRCA	Powell et al.	HLI 373
HLI 373	PIM137	0.010515	BRCA	Powell et al.	HLI 373
HLI 373	PIM254	0.046007	BRCA	Powell et al.	HLI 373
HLI 373	PIM040	0.0052864	BRCA	Powell et al.	HLI 373
HLI 373	PIM053	-0.035842	BRCA	Powell et al.	HLI 373
HLI 373	PIM091	-0.032039	BRCA	Powell et al.	HLI 373
HLI 373	PIM262	-0.043051	BRCA	Powell et al.	HLI 373
HLI 373	PIM068	0.021307	BRCA	Powell et al.	HLI 373
HLI 373	PIM163	0.051039999999999995	BRCA	Powell et al.	HLI 373
HLI 373	PIM010	-0.012109	BRCA	Powell et al.	HLI 373
HLI 373	PIM025	-0.034357	BRCA	Powell et al.	HLI 373
HLI 373	PIM164	-0.0025131	BRCA	Powell et al.	HLI 373
PX-12	PIM242	0.050608999999999994	BRCA	Powell et al.	PX-12
PX-12	PIM014	-0.032742	BRCA	Powell et al.	PX-12
PX-12	PIM137	0.067263	BRCA	Powell et al.	PX-12
PX-12	PIM254	0.0569	BRCA	Powell et al.	PX-12
PX-12	PIM040	0.028256	BRCA	Powell et al.	PX-12
PX-12	PIM053	0.016274	BRCA	Powell et al.	PX-12
PX-12	PIM091	-0.035098000000000004	BRCA	Powell et al.	PX-12
PX-12	PIM262	-0.026876	BRCA	Powell et al.	PX-12
PX-12	PIM068	0.054479999999999994	BRCA	Powell et al.	PX-12
PX-12	PIM163	0.17132999999999998	BRCA	Powell et al.	PX-12
PX-12	PIM010	0.0063802	BRCA	Powell et al.	PX-12
PX-12	PIM025	-0.05948099999999999	BRCA	Powell et al.	PX-12
PX-12	PIM164	0.0029593	BRCA	Powell et al.	PX-12
CI-976	PIM242	-0.0077207	BRCA	Powell et al.	CI-976
CI-976	PIM014	0.055457000000000006	BRCA	Powell et al.	CI-976
CI-976	PIM137	-0.012728	BRCA	Powell et al.	CI-976
CI-976	PIM254	0.029894	BRCA	Powell et al.	CI-976
CI-976	PIM040	0.053456	BRCA	Powell et al.	CI-976
CI-976	PIM053	-0.061803	BRCA	Powell et al.	CI-976
CI-976	PIM091	-0.06613200000000001	BRCA	Powell et al.	CI-976
CI-976	PIM262	-0.063226	BRCA	Powell et al.	CI-976
CI-976	PIM068	-0.040161	BRCA	Powell et al.	CI-976
CI-976	PIM163	-0.035647000000000005	BRCA	Powell et al.	CI-976
CI-976	PIM010	-0.076059	BRCA	Powell et al.	CI-976
CI-976	PIM025	-0.057509000000000005	BRCA	Powell et al.	CI-976
CI-976	PIM164	0.040991	BRCA	Powell et al.	CI-976
ETOMOXIR	PIM242	-0.052427999999999995	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM014	-0.070236	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM137	-0.019082	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM254	0.019631	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM040	-0.022864	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM053	-0.07475	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM091	-0.093528	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM262	-0.12668	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM068	-0.025655	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM163	0.028464999999999997	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM010	-0.06030599999999999	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM025	-0.08870800000000001	BRCA	Powell et al.	ETOMOXIR
ETOMOXIR	PIM164	0.01407	BRCA	Powell et al.	ETOMOXIR
